track_name,artist_name,album,played_at,duration_ms,track_id,release_date,genres,duration_min
Love The Way You Lie,Eminem,Recovery,2025-05-10 19:07:57+00:00,263373,15JINEqzVMv3SvJTAXAKED,2010-06-18,"rap, hip hop",4.38955
I Had Some Help (Feat. Morgan Wallen),Post Malone,F-1 Trillion,2025-05-10 19:03:33.468000+00:00,178205,5IZXB5IKAD2qlvTPJYDCFB,2024-08-15,,2.970083333333333
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2025-05-10 19:00:35.355000+00:00,239835,285pBltuF7vW8TeWk8hdRR,2018-12-10,"melodic rap, emo rap",3.99725
Taste (feat. Offset),Tyga,Legendary,2025-05-10 18:56:34.668000+00:00,229210,2toVe5hfuIi97ytDPDbQFt,2019-06-07,,3.8201666666666667
Mood (feat. iann dior),24kGoldn,El Dorado,2025-05-10 18:52:45.119000+00:00,140533,4jPy3l0RUwlUI9T5XHBW2m,2021-03-26,,2.342216666666667
Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Harder,2025-05-10 18:49:08.358000+00:00,145542,78QR3Wp35dqAhFEc2qAGjE,2018-10-05,,2.4257
Right Now (Na Na Na),Akon,Freedom,2025-05-10 18:46:42.459000+00:00,240746,5Ravsw8TmHN5wBiYPPYUFw,2008-01-01,,4.012433333333333
Intentions (feat. Quavo),Justin Bieber,Changes,2025-05-10 18:42:41.786000+00:00,212866,4umIPjkehX1r7uhmGvXiSV,2020-02-14,,3.5477666666666665
Mockingbird,Eminem,Encore (Deluxe Version),2025-05-10 18:37:27.914000+00:00,250760,561jH07mF1jHuk7KlaeF0s,2004-11-12,"rap, hip hop",4.179333333333333
Gyal You a Party Animal,Charly Black,Gyal You a Party Animal,2025-05-01 18:19:47.115000+00:00,214455,6bOLRTULQUiXeVnxOIPZVA,2015,"dancehall, soca",3.57425
Second Sermon - Remix,Black Sherif,The Villain I Never Was,2025-05-01 15:28:56.433000+00:00,194863,4DdaGKeVkjQbPHzpoHGafk,2022-10-05,"asakaa, hiplife, afrobeats, afrobeat, afropop, afropiano, afro adura",3.247716666666667
Vibration,Fireboy DML,"Laughter, Tears & Goosebumps",2025-05-01 14:26:01.051000+00:00,198461,7u0z6FcJDqkZwdpqAqUzmO,2019-11-28,"afrobeats, afrobeat, afropop, afropiano, afro soul, afroswing",3.3076833333333333
Cough (Odo),Kizz Daniel,Maverick,2025-05-01 14:22:42.310000+00:00,176195,3nT2nrfb3FMLg03W4mPaBl,2023-07-27,"afrobeats, afrobeat, afropop, afropiano, hiplife",2.9365833333333335
Loading,Olamide,Carpe Diem,2025-05-01 14:18:30.001000+00:00,194000,558ULLj8yY2vT8XGtgY0q9,2020-10-07,"afrobeats, afrobeat, afropop, afropiano, azonto, afro adura, afroswing, amapiano",3.2333333333333334
"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",AKA,Levels (Explicit),2025-05-01 14:15:15.870000+00:00,258105,6oAWlzrEbXFis7Z0kyeX0h,2014-07-07,afropop,4.30175
In Fact (feat. Gabzy),melvitto,THENIGHTISYOUNG.,2025-05-01 14:10:57.961000+00:00,225179,2rFPUq8a7gvO0IuaN9LpV7,2019-02-22,"afrobeats, alté, afrobeat, afroswing, afropop, afro soul",3.7529833333333333
Always (feat. Black Sherif),Darkoo,Always (feat. Black Sherif),2025-05-01 14:07:12.102000+00:00,154957,2koM4vqlpUzeRbNkjsDBwF,2022-02-24,"afrobeats, afroswing, uk drill, afrobeat",2.5826166666666666
Kwaku The Traveller,Black Sherif,The Villain I Never Was,2025-05-01 14:04:37.046000+00:00,185364,2LqvzGaZniHiZ9CXhzkclD,2022-10-05,"asakaa, hiplife, afrobeats, afrobeat, afropop, afropiano, afro adura",3.0894
Like I Do,Fireboy DML,"Laughter, Tears & Goosebumps",2025-05-01 14:00:15.418000+00:00,232800,3B5slaBuBK0BsuNw570pmx,2019-11-28,"afrobeats, afrobeat, afropop, afropiano, afro soul, afroswing",3.88
Lie,Kizz Daniel,Barnabas,2025-05-01 13:56:22.714000+00:00,156600,03DxO8kGNrEGr1VjPSdQs2,2021-11-18,"afrobeats, afrobeat, afropop, afropiano, hiplife",2.61
Again,Wande Coal,Realms,2025-05-01 13:53:45.490000+00:00,156083,6qk3jI8bKCgURI3h0d8zBZ,2020-09-10,"afrobeats, afrobeat, afropop, azonto, afropiano, afroswing, alté, hiplife",2.601383333333333
