track_name,artist_name,album,played_at,duration_ms,track_id,release_date,genres,duration_min
Vibration,Fireboy DML,"Laughter, Tears & Goosebumps",2025-05-01 14:26:01.051000+00:00,198461,7u0z6FcJDqkZwdpqAqUzmO,2019-11-28,"afrobeats, afrobeat, afropop, afropiano, afro soul, afroswing",3.3076833333333333
Cough (Odo),Kizz Daniel,Maverick,2025-05-01 14:22:42.310000+00:00,176195,3nT2nrfb3FMLg03W4mPaBl,2023-07-27,"afrobeats, afrobeat, afropop, afropiano, hiplife",2.9365833333333335
Loading,Olamide,Carpe Diem,2025-05-01 14:18:30.001000+00:00,194000,558ULLj8yY2vT8XGtgY0q9,2020-10-07,"afrobeats, afrobeat, afropop, afropiano, azonto, afro adura, afroswing, amapiano",3.2333333333333334
"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",AKA,Levels (Explicit),2025-05-01 14:15:15.870000+00:00,258105,6oAWlzrEbXFis7Z0kyeX0h,2014-07-07,afropop,4.30175
In Fact (feat. Gabzy),melvitto,THENIGHTISYOUNG.,2025-05-01 14:10:57.961000+00:00,225179,2rFPUq8a7gvO0IuaN9LpV7,2019-02-22,"afrobeats, alté, afrobeat, afroswing, afropop, afro soul",3.7529833333333333
Always (feat. Black Sherif),Darkoo,Always (feat. Black Sherif),2025-05-01 14:07:12.102000+00:00,154957,2koM4vqlpUzeRbNkjsDBwF,2022-02-24,"afrobeats, afroswing, uk drill, afrobeat",2.5826166666666666
Kwaku The Traveller,Black Sherif,The Villain I Never Was,2025-05-01 14:04:37.046000+00:00,185364,2LqvzGaZniHiZ9CXhzkclD,2022-10-05,"asakaa, hiplife, afrobeats, afrobeat, afropop, afropiano, afro adura",3.0894
Like I Do,Fireboy DML,"Laughter, Tears & Goosebumps",2025-05-01 14:00:15.418000+00:00,232800,3B5slaBuBK0BsuNw570pmx,2019-11-28,"afrobeats, afrobeat, afropop, afropiano, afro soul, afroswing",3.88
Lie,Kizz Daniel,Barnabas,2025-05-01 13:56:22.714000+00:00,156600,03DxO8kGNrEGr1VjPSdQs2,2021-11-18,"afrobeats, afrobeat, afropop, afropiano, hiplife",2.61
Again,Wande Coal,Realms,2025-05-01 13:53:45.490000+00:00,156083,6qk3jI8bKCgURI3h0d8zBZ,2020-09-10,"afrobeats, afrobeat, afropop, azonto, afropiano, afroswing, alté, hiplife",2.601383333333333
Girlfriend,Ruger,The Second Wave (Deluxe),2025-05-01 13:51:09.248000+00:00,196800,57jUCJelGAISFxuea34lrr,2022-06-17,"afrobeats, afrobeat, afropop, afropiano, afroswing, afro soul",3.28
Trouble,melvitto,Trouble,2025-05-01 13:47:52.246000+00:00,223517,5yplb3035SZqG3E6TArvGK,2020-08-17,"afrobeats, alté, afrobeat, afroswing, afropop, afro soul",3.7252833333333335
Juicy,Darkoo,Juicy,2025-05-01 13:42:56.452000+00:00,197893,3Gs3xtwTh4E0TsnSbKVGaP,2020-03-05,"afrobeats, afroswing, uk drill, afrobeat",3.298216666666667
Mama Stay,WSTRN,WSTRN Season 3,2025-05-01 13:39:38.719000+00:00,190210,1QyjxL3C1jhP21s4X1I9jw,2022-09-08,"afroswing, afrobeats, dancehall",3.170166666666667
Peru - Remix,Fireboy DML,Peru (Remix),2025-05-01 13:36:27.844000+00:00,186952,7voSun33hCNkIrjxaj3g47,2022-02-11,"afrobeats, afrobeat, afropop, afropiano, afro soul, afroswing",3.115866666666667
Finesse,Pheelz,Finesse,2025-05-01 13:33:20.743000+00:00,155293,4Gasn91fsCefnN8zM5GjA8,2022-03-03,"afrobeats, afrobeat, afropop, afropiano",2.588216666666667
